ArtistID,ArtistName,ArtistType,ArtistCategory
401,詹士賢 Hsien Chan,男藝人,A
402,詹宏達,男藝人,A
403,詹盼,男藝人,A
404,詹惟中,男藝人,A
405,趙一豪,男藝人,A
406,趙泳鑫,男藝人,A
407,趙翊帆,男藝人,A
408,趙傳,男藝人,A
409,趙照,男藝人,A
410,趙鵬,男藝人,A
411,豬頭皮,男藝人,A
412,鄭元暢,男藝人,A
413,鄭可強 Kechiang,男藝人,A
414,鄭伊健 Ekin Cheng,男藝人,A
415,鄭柏育,男藝人,A
416,鄭家星 Carlson,男藝人,A
417,鄭智化,男藝人,A
418,鄭鈞,男藝人,A
419,鄭開來,男藝人,A
420,鄭源,男藝人,A
421,鄭興,男藝人,A
422,鍾立風,男藝人,A
423,鍾志剛,男藝人,A
424,鍾明軒,男藝人,A
425,鍾漢良 WALLACE CHUNG,男藝人,A
426,鍾興民,男藝人,A
427,鐘木元,男藝人,A
428,鐘昀呈(小鐘),男藝人,A
429,成龍,男藝人,A
430,池昌旭 JI CHANG WOOK,男藝人,A
431,車志立,男藝人,A
432,辰亦儒,男藝人,A
433,持修,男藝人,A
434,晨輝,男藝人,A
435,曹軒賓,男藝人,A
436,陳乃榮,男藝人,A
437,陳大天,男藝人,A
438,陳小春 Jordan Chan,男藝人,A
439,陳世川,男藝人,A
440,陳司翰,男藝人,A
441,陳永淘,男藝人,A
442,陳永龍,男藝人,A
443,陳立農,男藝人,A
444,陳如山,男藝人,A
445,陳百強 Danny Chan,男藝人,A
446,陳志朋,男藝人,A
447,陳底裡,男藝人,A
448,陳明章,男藝人,A
449,陳昇 Bobby Chen,男藝人,A
450,陳冠希 Edison Chen,男藝人,A
451,陳勇豪 Alvin,男藝人,A
452,陳奕迅 Eason,男藝人,A
453,陳奕迅&郎朗&弗萊明,男藝人,A
454,陳建騏,男藝人,A
455,陳彥允,男藝人,A
456,陳星翰 Starr Chen,男藝人,A
457,陳柏銓 Barry Chen,男藝人,A
458,陳紅鯉,男藝人,A
459,陳飛宏,男藝人,A
460,陳修澤,男藝人,A
461,陳偉聯,男藝人,A
462,陳國華,男藝人,A
463,陳清台,男藝人,A
464,陳勢安 Andrew Tan,男藝人,A
465,陳煥明,男藝人,A
466,陳達,男藝人,A
467,陳零九 NINE CHEN,男藝人,A
468,陳瑋儒,男藝人,A
469,陳熙,男藝人,A
470,陳德修,男藝人,A
471,陳曉東,男藝人,A
472,陳翰 Chen Han,男藝人,A
473,陳鴻宇,男藝人,A
474,史今 SJIN,男藝人,A
475,石班瑜,男藝人,A
476,石康軍,男藝人,A
477,石頭,男藝人,A
478,沈以誠 Eason,男藝人,A
479,沈正哲,男藝人,A
480,沈安 Shen An,男藝人,A
481,沈建宏,男藝人,A
482,沈聖哲,男藝人,A
483,尚融 Shawn,男藝人,A
484,邵彥棚 SHAO,男藝人,A
485,施孝榮,男藝人,A
486,盛噶仁波切,男藝人,A
487,舒米恩 Suming,男藝人,A
488,順鵬,男藝人,A
489,聖結石 Saint,男藝人,A
490,瘦子 E.SO,男藝人,A
491,日京江羽人,男藝人,A
492,任賢齊 Richie Jen,男藝人,A
493,熱狗 MC HotDog,男藝人,A
494,鄒序 Hogan T.,男藝人,A
495,左光平,男藝人,A
496,側田,男藝人,A
497,崔健 Cui Jian,男藝人,A
498,曹西平,男藝人,A
499,曹格,男藝人,A
500,曹登昌,男藝人,A
501,曹楊 Young,男藝人,A
502,曹槽,男藝人,A
503,蔡允南,男藝人,A
504,蔡明仁 MINGREN,男藝人,A
505,蔡旻佑 EvanYo,男藝人,A
506,蔡淳,男藝人,A
507,蔡藍欽,男藝人,A
508,小宇(宋念宇) Xiao Yu,男藝人,A
509,司崗里,男藝人,A
510,宋冬野 Song Dong Ye,男藝人,A
511,宋岳庭 Shawn,男藝人,A
512,宋雨吉吉,男藝人,A
513,宋柏緯 EDISON SONG,男藝人,A
514,宋洋,男藝人,A
515,宋健彰(南拳媽媽-彈頭),男藝人,A
516,宋樂謙,男藝人,A
517,孫大威 sulumi,男藝人,A
518,孫子涵,男藝人,A
519,孫協志,男藝人,A
520,孫浩然,男藝人,A
521,孫魏克 Kerr,男藝人,A
522,桑布伊 SANGPUY,男藝人,A
523,蘇永康 William So,男藝人,A
524,炎亞綸 Aaron Yan,男藝人,A
525,奕超,男藝人,A
526,姚宇謙 Lowking,男藝人,A
527,宥勝,男藝人,A
528,殷正洋,男藝人,A
529,楊士弘 Midi Yang,男藝人,A
530,楊永聰 James,男藝人,A
531,楊宇騰 YU,男藝人,A
532,楊宗緯,男藝人,A
533,楊培安,男藝人,A
534,楊晨,男藝人,A
535,楊嘉松,男藝人,A
536,楊耀東,男藝人,A
537,葉佳修,男藝人,A
538,葉秉桓 Bingham Yeh,男藝人,A
539,顏冠希 JY,男藝人,A
540,嚴梵 Fan Yen,男藝人,A
541,嚴爵 Yen-j,男藝人,A
542,Leo王,男藝人,A
543,文彥博 Young Johnny,男藝人,A
544,文章,男藝人,A
545,王力宏 Leehom Wang,男藝人,A
546,王凡瑞,男藝人,A
547,王大文,男藝人,A
548,王仁宏,男藝人,A
549,王水源 Lifloo,男藝人,A
550,王立,男藝人,A
551,王宏恩 Biung,男藝人,A
552,王勇,男藝人,A
553,王城,男藝人,A
554,王威,男藝人,A
555,王建復,男藝人,A
556,王洛賓,男藝人,A
557,王傑 Dave Wang,男藝人,A
558,王博文,男藝人,A
559,王晰,男藝人,A
560,王瑞瑜,男藝人,A
561,王夢麟,男藝人,A
562,王謙 Goatak,男藝人,A
563,王櫟鑫,男藝人,A
564,伍思凱,男藝人,A
565,伍家輝,男藝人,A
566,吳克群 MagiK,男藝人,A
567,吳彤 Denis Ng,男藝人,A
568,吳志寧,男藝人,A
569,吳奇隆,男藝人,A
570,吳宗憲 Jacky Wu,男藝人,A
571,吳承洋,男藝人,A
572,吳青峰,男藝人,A
573,吳建豪 Vanness Wu,男藝人,A
574,吳是閎,男藝人,A
575,吳柏蒼(ECHO 主唱),男藝人,A
576,吳霏 FEI,男藝人,A
577,吳獻 Osean,男藝人,A
578,巫啟賢 Eric Moo,男藝人,A
579,汪定中 Dean Wang,男藝人,A
580,汪東城,男藝人,A
581,汪峰,男藝人,A
582,汪蘇瀧,男藝人,A
583,武藝,男藝人,A
584,韋禮安 WeiBird,男藝人,A
585,溫偉杰,男藝人,A
586,萬沙浪,男藝人,A
587,萬曉利,男藝人,A
588,魏士翔,男藝人,A
589,魏晨,男藝人,A
590,永邦,男藝人,A
591,余天 Yu Tian,男藝人,A
592,余文樂,男藝人,A
593,岳靖川,男藝人,A
594,雨天,男藝人,A
595,袁興緯,男藝人,A
596,庾澄慶 Harlem Yu,男藝人,A
597,魚果,男藝人,A
598,于立成 Freddy Yu,男藝人,A
599,于浩威,男藝人,A
600,阿牛,男藝人,A
601,阿杜 A-Do,男藝人,A
602,阿沁,男藝人,A
603,阿杰,男藝人,A
604,阿峰,男藝人,A
605,阿強,男藝人,A
606,阿斑,男藝人,A
607,阿超,男藝人,A
608,艾成 Eison,男藝人,A
609,艾蜜莉 AMILI,男藝人,A
610,敖犬,男藝人,A
611,歐得洋,男藝人,A
612,歐漢聲,男藝人,A
613,Andy Kao,男藝人,A
614,HUSH,男藝人,A
615,JAYRoll,男藝人,A
616,noovy,男藝人,A
617,Spark皇毅,男藝人,A
618,余憲忠 No Name,男藝人,A
619,巴奈,女藝人,A
620,包美聖,女藝人,A
621,包娜娜,女藝人,A
622,白安 Ann,女藝人,A
623,白雨(金若),女藝人,A
624,白若溪 Bai Ruo XI,女藝人,A
625,白虹,女藝人,A
626,白嘉莉,女藝人,A
627,杯緹 Bettii,女藝人,A
628,芭比 Bob,女藝人,A
629,姚瓔格,女藝人,A
630,寶兒 BabeBao,女藝人,A
631,泡麵,女藝人,A
632,彭佳慧 Julia Peng,女藝人,A
633,彭羚 Cass Pon,女藝人,A
634,彭靖惠,女藝人,A
635,潘映竹 Chu,女藝人,A
636,潘越雲,女藝人,A
637,潘瑋儀 Alicia,女藝人,A
638,毛阿敏,女藝人,A
639,米線,女藝人,A
640,孟庭葦,女藝人,A
641,馬曉安,女藝人,A
642,梅艷芳 Anita Mui,女藝人,A
643,莫文蔚 Karen Mok,女藝人,A
644,慕潔溪,女藝人,A
645,繆以欣,女藝人,A
646,方季惟,女藝人,A
647,方晴,女藝人,A
648,方逸華,女藝人,A
649,方維珍,女藝人,A
650,方靜音,女藝人,A
651,法藍 Fran,女藝人,A
652,法蘭 Fran,女藝人,A
653,芳怡 Fann,女藝人,A
654,范瑋琪,女藝人,A
655,范曉萱,女藝人,A
656,符瓊音,女藝人,A
657,傅健穎,女藝人,A
658,費貞綾,女藝人,A
659,馮羿 Feng E,女藝人,A
660,馮穎琪,女藝人,A
661,"鳳飛飛 Fong, Fei-Fei",女藝人,A
662,樊桐舟,女藝人,A
663,丁小芹 T＊Ana,女藝人,A
664,丁詩瑀,女藝人,A
665,丁噹 Della,女藝人,A
666,大麥,女藝人,A
667,杜忻恬,女藝人,A
668,段玫梅,女藝人,A
669,達妮 Nicole darcy,女藝人,A
670,鄧紫棋 G.E.M.,女藝人,A
671,鄧穎芝,女藝人,A
672,鄧麗君 Teresa Teng,女藝人,A
673,戴辛蔚,女藝人,A
674,戴佩妮 Penny,女藝人,A
675,戴愛玲 Princess Ai,女藝人,A
676,Tangxin唐芯,女藝人,A
677,田希仁,女藝人,A
678,田馥甄 Hebe,女藝人,A
679,同恩 Rebecca,女藝人,A
680,恬妞,女藝人,A
681,唐芯 Tangxin,女藝人,A
682,唐青,女藝人,A
683,唐雅明 Jesse,女藝人,A
684,陶晶瑩,女藝人,A
685,童圓喻,女藝人,A
686,童麗,女藝人,A
687,覃美,女藝人,A
688,圖婭,女藝人,A
689,瑭瑭,女藝人,A
690,談靜,女藝人,A
691,譚維維,女藝人,A
692,譚豔,女藝人,A
693,鐵陽 Tie Yann,女藝人,A
694,那英 Na Ying,女藝人,A
695,南穎,女藝人,A
696,利得彙,女藝人,A
697,利綺,女藝人,A
698,呂珊 Rosanne,女藝人,A
699,呂婕菲 Shiny,女藝人,A
700,呂薔 Amuyi,女藝人,A
701,李千娜 Nana Lee,女藝人,A
702,李之勤,女藝人,A
703,李心潔 Sin Je,女藝人,A
704,李佳薇,女藝人,A
705,李佳歡 KarFun,女藝人,A
706,李函曦,女藝人,A
707,李幸倪 Gin Lee,女藝人,A
708,李昀陵,女藝人,A
709,李玟 CoCo Lee,女藝人,A
710,李宣榕,女藝人,A
711,李度,女藝人,A
712,李娜,女藝人,A
713,李涵曦,女藝人,A
714,李婭莎 SASHA LEE,女藝人,A
715,李翊君,女藝人,A
716,李紫婷,女藝人,A
